circuit_id,circuit_type,scheme,poly_modulus_degree,coeff_mod_bits,scale_bits,base,multiplicative_depth,operations_count,rotation_count,vector_size,cpu_cores,cpu_freq_ghz,memory_gb,memory_bandwidth_gb_s,cache_mb,has_gpu,sum_coeff_bits,num_primes,runtime_s,memory_mb,final_noise_budget,success,security_bits
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.040598154067993164,6.0,61.71023265735893,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.041399240493774414,6.0,61.4488593907457,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04184913635253906,6.0,62.28571594266811,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04034256935119629,6.0,61.40913949914172,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.0409998893737793,6.0,61.68652442601559,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.0410001277923584,6.0,61.033532913038854,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04100346565246582,6.0,62.73284199358393,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04099583625793457,6.0,61.86920277434379,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04000091552734375,6.0,61.99033497646096,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.03999948501586914,6.0,61.87566645347235,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04000663757324219,6.0,61.98365865808301,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,3,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.03899335861206055,6.0,62.21657963775943,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.03900027275085449,6.0,62.210684381175305,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04000043869018555,6.0,61.79815802770807,1,192
c1,dot,CKKS,16384,"[60, 20, 20, 50, 50, 40]",40,5,4,250,8,4096,8,3.2,16,25.0,16,0,240,6,0.04101419448852539,6.0,60.97405648326258,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04199624061584473,6.0,62.003045837294074,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0410001277923584,6.0,61.73967376299484,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0409998893737793,6.0,62.03688016437373,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04200434684753418,6.0,62.62311674962693,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.039995670318603516,6.0,62.807645304187815,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0410001277923584,6.0,62.6222685185889,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.040999650955200195,6.0,61.38856746542733,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0410001277923584,6.0,62.104764995094385,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",20,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.041002750396728516,6.0,61.947048911344794,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04113650321960449,6.0,61.847755368178184,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04015231132507324,6.0,62.330161613787745,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.0396122932434082,6.0,61.841646422492126,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04028058052062988,6.0,62.22130804684834,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.03983426094055176,6.0,62.75223188686451,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,3,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.041069984436035156,6.0,61.417723324998576,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04018688201904297,6.0,61.77729757117109,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.040332794189453125,6.0,62.99856629911517,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",30,5,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.03931736946105957,6.0,61.27832195155999,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.032318830490112305,6.0,62.00746311983991,1,192
c1,dot,CKKS,16384,"[60, 60, 20, 40, 30, 50]",40,2,4,250,8,4096,8,3.2,16,25.0,16,0,260,6,0.04969954490661621,6.0,61.324142655660296,1,192
